p-value	q-value	term_goid	term_category	term_level	term_name	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.98005092825e-12	7.52419352734e-11	GO:0019827	b	2	stem cell maintenance	99377; 71950; 14175; 16600; 18999; 20674; 26380	Nanog; Esrrb; Sall4; Klf4; Pou5f1; Sox2; Fgf4	109	109
4.0875669053e-12	4.21019391246e-10	GO:0048864	b	4	stem cell development	99377; 71950; 14175; 16600; 17702; 18999; 20674; 26380	Nanog; Esrrb; Sall4; Klf4; Pou5f1; Sox2; Msx2; Fgf4	224	223
2.761544687e-11	1.4221955138e-09	GO:0048863	b	4	stem cell differentiation	99377; 71950; 14175; 16600; 17702; 18999; 20674; 26380	Nanog; Esrrb; Sall4; Klf4; Pou5f1; Sox2; Msx2; Fgf4	284	283
7.78311320009e-10	2.6722021987e-08	GO:0009893	b	4	positive regulation of metabolic process	99377; 71950; 14175; 15378; 16598; 16600; 18590; 18613; 18999; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Pecam1; Esrrb; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Fgf4	1817	1812
2.17868112637e-09	1.42931678551e-07	GO:0050793	b	3	regulation of developmental process	99377; 71950; 14175; 15378; 16600; 17702; 18590; 18999; 14268; 20674; 26380	Pdgfa; Nanog; Fn1; Esrrb; Hnf4a; Sall4; Klf4; Pou5f1; Sox2; Msx2; Fgf4	1496	1486
2.2466216407e-09	4.26858111733e-08	GO:0009653	b	2	anatomical structure morphogenesis	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 14268; 20674; 26380	Pdgfa; Nanog; Fn1; Esrrb; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	1996	1985
3.9917619207e-09	1.42931678551e-07	GO:0019222	b	3	regulation of metabolic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18613; 18999; 14268; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Esrrb; Nanog; Fn1; Pecam1; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	4416	4383
4.61069930809e-09	1.42931678551e-07	GO:0048598	b	3	embryonic morphogenesis	99377; 71950; 14175; 15378; 17702; 18999; 20674; 26380	Nanog; Esrrb; Hnf4a; Sall4; Pou5f1; Sox2; Msx2; Fgf4	542	540
4.67550038692e-09	1.20394134963e-07	GO:0048522	b	4	positive regulation of cellular process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18613; 18999; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Pecam1; Esrrb; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	2753	2738
6.30515397552e-09	1.29886171896e-07	GO:0051093	b	4	negative regulation of developmental process	99377; 71950; 14175; 16600; 17702; 18999; 20674; 26380	Nanog; Esrrb; Sall4; Klf4; Pou5f1; Sox2; Msx2; Fgf4	565	562
7.21244448572e-09	7.21244448572e-08	GO:0001067	m	4	regulatory region nucleic acid binding	71950; 15378; 16600; 17702; 18999; 20674; 26380	Nanog; Esrrb; Hnf4a; Klf4; Pou5f1; Sox2; Msx2	351	350
1.56449948145e-08	2.2815888475e-07	GO:0060255	b	4	regulation of macromolecule metabolic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18613; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Esrrb; Nanog; Pecam1; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3845	3818
2.10938902228e-08	2.2815888475e-07	GO:0009889	b	4	regulation of biosynthetic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3114	3088
2.22080930619e-08	2.2815888475e-07	GO:0080090	b	4	regulation of primary metabolic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18613; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Esrrb; Nanog; Pecam1; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3945	3918
2.22298194886e-08	2.2815888475e-07	GO:0034654	b	4	nucleobase-containing compound biosynthetic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3127	3101
2.42804811156e-08	2.2815888475e-07	GO:0051171	b	4	regulation of nitrogen compound metabolic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3149	3123
2.47935438811e-08	2.2815888475e-07	GO:0031323	b	4	regulation of cellular metabolic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18613; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Esrrb; Nanog; Pecam1; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3980	3950
2.65071954082e-08	5.81638872946e-07	GO:0009790	b	3	embryo development	99377; 71950; 14175; 15378; 16598; 17702; 18999; 20674; 26380	Nanog; Esrrb; Hnf4a; Sall4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	1004	999
2.87967524441e-08	2.2815888475e-07	GO:0019438	b	4	aromatic compound biosynthetic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3193	3166
2.87967524441e-08	2.2815888475e-07	GO:0018130	b	4	heterocycle biosynthetic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3193	3166
3.12709071477e-08	5.81638872946e-07	GO:0048518	b	3	positive regulation of biological process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18613; 18999; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Pecam1; Esrrb; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3210	3187
3.42028460867e-08	2.5163522478e-07	GO:0044271	b	4	cellular nitrogen compound biosynthetic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3240	3210
4.23036445627e-08	6.55706490722e-07	GO:0001714	b	3	endodermal cell fate specification	71950; 18999; 20674	Sox2; Pou5f1; Nanog	9	9
4.3075193611e-08	2.95782996129e-07	GO:1901362	b	4	organic cyclic compound biosynthetic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3298	3270
9.83642136479e-08	1.30683883846e-06	GO:0048729	b	3	tissue morphogenesis	99377; 71950; 16600; 17702; 18590; 18999; 20674	Pdgfa; Nanog; Sall4; Klf4; Pou5f1; Sox2; Msx2	512	512
1.11011003146e-07	1.40613937318e-06	GO:0044767	b	2	single-organism developmental process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 14268; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Fn1; Esrrb; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3554	3529
1.96164186401e-07	1.45573253898e-06	GO:0003700	m	2	sequence-specific DNA binding transcription factor activity	71950; 15378; 16598; 16600; 17702; 18999; 20674; 26380	Nanog; Esrrb; Hnf4a; Klf4; Pou5f1; Klf2; Sox2; Msx2	883	875
2.26693876405e-07	1.64107358736e-06	GO:0008283	b	2	cell proliferation	99377; 71950; 14175; 15378; 16600; 17702; 18590; 20674; 26380	Pdgfa; Nanog; Esrrb; Hnf4a; Sall4; Klf4; Sox2; Msx2; Fgf4	1286	1281
2.26900961814e-07	1.46067494168e-06	GO:0034645	b	4	cellular macromolecule biosynthetic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3771	3739
2.31370910659e-07	1.64107358736e-06	GO:0048646	b	2	anatomical structure formation involved in morphogenesis	99377; 71950; 17702; 18590; 18999; 14268; 20674; 26380	Pdgfa; Nanog; Fn1; Esrrb; Sall4; Pou5f1; Sox2; Msx2	898	894
2.7169268025e-07	1.64107358736e-06	GO:0007275	b	2	multicellular organismal development	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 14268; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Fn1; Esrrb; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3827	3794
2.90825418989e-07	1.76205989152e-06	GO:0009059	b	4	macromolecule biosynthetic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3847	3815
2.91146507796e-07	1.45573253898e-06	GO:0000989	m	2	transcription factor binding transcription factor activity	71950; 16600; 17702; 18999; 22286; 26380	Utf1; Nanog; Esrrb; Klf4; Pou5f1; Msx2	357	354
3.0230302925e-07	1.64107358736e-06	GO:0048856	b	2	anatomical structure development	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 14268; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Fn1; Esrrb; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3858	3827
4.54633533213e-07	2.46836182635e-06	GO:0090304	b	4	nucleic acid metabolic process	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 18999; 20668; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	3996	3956
4.55328880589e-07	2.46836182635e-06	GO:0032526	b	4	response to retinoic acid	71950; 16600; 18999; 20674	Sox2; Pou5f1; Klf4; Nanog	77	77
4.85478116422e-07	5.38246896665e-06	GO:0035987	b	3	endodermal cell differentiation	71950; 18999; 20674	Sox2; Pou5f1; Nanog	19	19
4.9126828352e-07	4.42141455168e-06	GO:0008134	m	3	transcription factor binding	15378; 16600; 17702; 18999; 20674; 26380	Esrrb; Hnf4a; Klf4; Pou5f1; Sox2; Msx2	392	387
5.20884093547e-07	5.38246896665e-06	GO:0048513	b	3	organ development	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Esrrb; Hnf4a; Sall4; Klf4; Klf2; Sox2; Msx2; Fgf4	2524	2503
5.69526495067e-07	2.84763247533e-06	GO:0003677	m	4	DNA binding	99377; 71950; 15378; 16598; 16600; 17702; 18999; 20668; 20674; 26380	Nanog; Esrrb; Sox13; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2	1950	1931
5.9789354558e-07	5.56040997389e-06	GO:0048468	b	3	cell development	99377; 71950; 14175; 16598; 16600; 17702; 18999; 20674; 26380	Nanog; Esrrb; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	1440	1435
6.83435920572e-07	5.77814005574e-06	GO:0048731	b	3	system development	99377; 71950; 14175; 15378; 16598; 16600; 17702; 18590; 14268; 20674; 22286; 26380	Utf1; Pdgfa; Nanog; Fn1; Esrrb; Hnf4a; Sall4; Klf4; Klf2; Sox2; Msx2; Fgf4	3298	3271
7.19096333985e-07	2.39698777995e-06	GO:0005515	m	2	protein binding	99377; 71950; 269378; 14175; 15378; 16598; 16600; 17702; 18590; 18613; 18999; 14268; 20674; 22286; 26380	Utf1; Pdgfa; Ahcy; Nanog; Fn1; Pecam1; Esrrb; Hnf4a; Sall4; Klf4; Pou5f1; Klf2; Sox2; Msx2; Fgf4	6297	6246
