SAMPID	SMTSD
GTEX-S3XE-1626-SM-3K2AJ	Adipose - Subcutaneous
GTEX-S4P3-1526-SM-3K2AV	Adipose - Subcutaneous
GTEX-S4Q7-1626-SM-3K2AE	Adipose - Subcutaneous
GTEX-S4UY-0226-SM-3K2AP	Adipose - Subcutaneous
GTEX-S4Z8-1726-SM-3K2AX	Adipose - Subcutaneous
GTEX-S7SE-0226-SM-2XCD4	Adipose - Subcutaneous
GTEX-S7SF-1826-SM-3K2AD	Adipose - Subcutaneous
GTEX-S95S-1326-SM-2XCDK	Adipose - Subcutaneous
GTEX-SIU8-0226-SM-2XCDS	Adipose - Subcutaneous
GTEX-SJXC-0226-SM-2XCDU	Adipose - Subcutaneous
GTEX-SN8G-0226-SM-4DM6B	Adipose - Subcutaneous
GTEX-SNMC-1326-SM-2XCFK	Adipose - Subcutaneous
GTEX-SNOS-1426-SM-32PLY	Adipose - Subcutaneous
GTEX-SSA3-0226-SM-32QPN	Adipose - Subcutaneous
GTEX-SUCS-1826-SM-32PM1	Adipose - Subcutaneous
GTEX-T2IS-0226-SM-32QPH	Adipose - Subcutaneous
GTEX-T5JC-0526-SM-32PM7	Adipose - Subcutaneous
GTEX-T5JW-1726-SM-3GADN	Adipose - Subcutaneous
GTEX-T6MN-0226-SM-32PMD	Adipose - Subcutaneous
GTEX-T6MO-1726-SM-33HB8	Adipose - Subcutaneous
GTEX-T8EM-1126-SM-3DB7D	Adipose - Subcutaneous
GTEX-TKQ1-1126-SM-4GIAZ	Adipose - Subcutaneous
GTEX-TML8-2026-SM-32QOP	Adipose - Subcutaneous
GTEX-TMZS-0226-SM-3DB9N	Adipose - Subcutaneous
GTEX-TSE9-0226-SM-3DB84	Adipose - Subcutaneous
GTEX-U3ZN-2626-SM-3DB7T	Adipose - Subcutaneous
GTEX-U412-0526-SM-3DB9I	Adipose - Subcutaneous
GTEX-U4B1-1726-SM-3DB9F	Adipose - Subcutaneous
GTEX-U8XE-0426-SM-3DB91	Adipose - Subcutaneous
GTEX-UJHI-1626-SM-3DB9A	Adipose - Subcutaneous
GTEX-UTHO-0426-SM-5SI7N	Adipose - Subcutaneous
GTEX-VUSG-2426-SM-4KKZG	Adipose - Subcutaneous
GTEX-W5WG-2526-SM-4SOJ2	Adipose - Subcutaneous
GTEX-W5X1-2626-SM-4LMI8	Adipose - Subcutaneous
GTEX-WEY5-1926-SM-3GIL8	Adipose - Subcutaneous
GTEX-WFG8-2326-SM-5S2UE	Adipose - Subcutaneous
GTEX-WFJO-1926-SM-3GILA	Adipose - Subcutaneous
GTEX-WFON-2226-SM-3TW8W	Adipose - Subcutaneous
GTEX-WH7G-2226-SM-3NMBN	Adipose - Subcutaneous
GTEX-WI4N-1126-SM-3LK7Q	Adipose - Subcutaneous
GTEX-WL46-0326-SM-3LK6Y	Adipose - Subcutaneous
GTEX-WVJS-0226-SM-4MVOU	Adipose - Subcutaneous
GTEX-WVLH-0226-SM-3MJG6	Adipose - Subcutaneous
GTEX-WY7C-2426-SM-3NB2V	Adipose - Subcutaneous
GTEX-X15G-2326-SM-4PQZS	Adipose - Subcutaneous
GTEX-X261-0226-SM-3NMD2	Adipose - Subcutaneous
GTEX-X4EO-0426-SM-4QASA	Adipose - Subcutaneous
GTEX-X4LF-1726-SM-3NMBZ	Adipose - Subcutaneous
GTEX-X4XY-0326-SM-46MVZ	Adipose - Subcutaneous
GTEX-X5EB-2426-SM-4E3HX	Adipose - Subcutaneous
GTEX-X638-0226-SM-47JZ9	Adipose - Subcutaneous
GTEX-X88G-0226-SM-4GIE4	Adipose - Subcutaneous
GTEX-X8HC-0226-SM-4E3K1	Adipose - Subcutaneous
GTEX-XAJ8-0926-SM-47JXZ	Adipose - Subcutaneous
GTEX-XBEC-0326-SM-4AT4M	Adipose - Subcutaneous
GTEX-XBED-2326-SM-47JYR	Adipose - Subcutaneous
GTEX-XBEW-0726-SM-4QARX	Adipose - Subcutaneous
GTEX-XGQ4-2226-SM-4AT4Y	Adipose - Subcutaneous
GTEX-XK95-0426-SM-4AT4R	Adipose - Subcutaneous
GTEX-XLM4-0226-SM-4AT4N	Adipose - Subcutaneous
GTEX-XMD2-0226-SM-4WWEE	Adipose - Subcutaneous
GTEX-XMK1-2226-SM-4B673	Adipose - Subcutaneous
GTEX-XOTO-0226-SM-4B66H	Adipose - Subcutaneous
GTEX-XPVG-2726-SM-4B66W	Adipose - Subcutaneous
GTEX-XQ3S-1626-SM-4WAYN	Adipose - Subcutaneous
GTEX-XQ8I-0526-SM-4BOPS	Adipose - Subcutaneous
GTEX-XUJ4-2526-SM-4BOO4	Adipose - Subcutaneous
GTEX-XUW1-0526-SM-4BOP3	Adipose - Subcutaneous
GTEX-XUYS-0226-SM-47JX1	Adipose - Subcutaneous
GTEX-XUZC-1826-SM-4BRVO	Adipose - Subcutaneous
GTEX-XV7Q-2626-SM-4BRVA	Adipose - Subcutaneous
GTEX-XXEK-2426-SM-4BRUS	Adipose - Subcutaneous
GTEX-XYKS-2726-SM-4E3IC	Adipose - Subcutaneous
GTEX-Y111-0226-SM-4SOIW	Adipose - Subcutaneous
GTEX-Y114-2326-SM-4TT7X	Adipose - Subcutaneous
GTEX-Y3I4-2226-SM-4TT7O	Adipose - Subcutaneous
GTEX-Y3IK-2526-SM-4WWDM	Adipose - Subcutaneous
GTEX-Y5V5-2426-SM-5IFJA	Adipose - Subcutaneous
GTEX-Y5V6-2526-SM-5IFJV	Adipose - Subcutaneous
GTEX-Y8E4-0726-SM-4WWFN	Adipose - Subcutaneous
GTEX-Y8E5-0226-SM-57WCM	Adipose - Subcutaneous
GTEX-Y8LW-1926-SM-4WWFZ	Adipose - Subcutaneous
GTEX-YB5E-2126-SM-5IFI7	Adipose - Subcutaneous
GTEX-YB5K-2226-SM-4WWG1	Adipose - Subcutaneous
GTEX-YEC3-1226-SM-5IFI8	Adipose - Subcutaneous
GTEX-YEC4-2426-SM-57WFO	Adipose - Subcutaneous
GTEX-YECK-0226-SM-4W215	Adipose - Subcutaneous
GTEX-YF7O-2426-SM-5IFJL	Adipose - Subcutaneous
GTEX-YFC4-0226-SM-57WD2	Adipose - Subcutaneous
GTEX-YFCO-2026-SM-4W21Q	Adipose - Subcutaneous
GTEX-YJ89-0226-SM-4TT3Y	Adipose - Subcutaneous
GTEX-YJ8A-0526-SM-5IFHT	Adipose - Subcutaneous
GTEX-YJ8O-2426-SM-5HL7S	Adipose - Subcutaneous
GTEX-Z93S-0226-SM-5HL7R	Adipose - Subcutaneous
GTEX-Z93T-0226-SM-5HL5Z	Adipose - Subcutaneous
GTEX-Z9EW-1826-SM-5CVMA	Adipose - Subcutaneous
GTEX-ZAJG-0226-SM-5HL81	Adipose - Subcutaneous
GTEX-ZAK1-0226-SM-5CVMX	Adipose - Subcutaneous
GTEX-ZC5H-0126-SM-4WAYL	Adipose - Subcutaneous
GTEX-ZDTS-0226-SM-5HL7Q	Adipose - Subcutaneous
GTEX-ZDTT-2626-SM-5S2OP	Adipose - Subcutaneous
GTEX-ZDXO-2426-SM-5S2NJ	Adipose - Subcutaneous
GTEX-ZDYS-2126-SM-5S2OD	Adipose - Subcutaneous
GTEX-ZE7O-0226-SM-5S2N1	Adipose - Subcutaneous
GTEX-ZE9C-2826-SM-5S2MO	Adipose - Subcutaneous
GTEX-ZEX8-2326-SM-5S2MN	Adipose - Subcutaneous
GTEX-ZF28-0226-SM-5S2OE	Adipose - Subcutaneous
GTEX-ZF29-2226-SM-4WWB9	Adipose - Subcutaneous
GTEX-ZF3C-0226-SM-4WWB3	Adipose - Subcutaneous
GTEX-ZLV1-1826-SM-5FQU5	Adipose - Subcutaneous
GTEX-ZLWG-2226-SM-5DUWO	Adipose - Subcutaneous
GTEX-ZP4G-2326-SM-57WEM	Adipose - Subcutaneous
GTEX-ZPCL-2126-SM-57WFZ	Adipose - Subcutaneous
GTEX-ZPIC-1826-SM-57WFE	Adipose - Subcutaneous
GTEX-ZPU1-2426-SM-4WWFM	Adipose - Subcutaneous
GTEX-ZQG8-1526-SM-5HL65	Adipose - Subcutaneous
GTEX-ZT9X-1926-SM-57WE7	Adipose - Subcutaneous
GTEX-ZTPG-0226-SM-5O99I	Adipose - Subcutaneous
GTEX-ZTSS-2026-SM-5987K	Adipose - Subcutaneous
GTEX-ZTX8-1526-SM-5N9GI	Adipose - Subcutaneous
GTEX-ZUA1-0226-SM-5NQ9Q	Adipose - Subcutaneous
GTEX-ZV68-0226-SM-59HJF	Adipose - Subcutaneous
GTEX-ZVE2-0326-SM-57WFC	Adipose - Subcutaneous
GTEX-ZVP2-1826-SM-5GU62	Adipose - Subcutaneous
GTEX-ZVT2-2226-SM-5NQ6P	Adipose - Subcutaneous
GTEX-ZVT4-0226-SM-51MSD	Adipose - Subcutaneous
GTEX-ZVTK-0526-SM-5GZWT	Adipose - Subcutaneous
GTEX-ZVZO-0226-SM-5A5LA	Adipose - Subcutaneous
GTEX-ZVZP-2326-SM-59HL4	Adipose - Subcutaneous
GTEX-ZXES-2026-SM-5NQ6R	Adipose - Subcutaneous
GTEX-ZXG5-0226-SM-59HJI	Adipose - Subcutaneous
GTEX-ZYFC-0326-SM-5NQ7H	Adipose - Subcutaneous
GTEX-ZYFD-0226-SM-5NQ86	Adipose - Subcutaneous
GTEX-ZYVF-0226-SM-5GIEG	Adipose - Subcutaneous
GTEX-ZYW4-0226-SM-5E44M	Adipose - Subcutaneous
GTEX-ZYWO-2526-SM-5GIDM	Adipose - Subcutaneous
GTEX-ZYY3-0226-SM-5E45M	Adipose - Subcutaneous
GTEX-ZZ64-1626-SM-5E43W	Adipose - Subcutaneous
GTEX-ZZPU-2726-SM-5NQ8O	Adipose - Subcutaneous
GTEX-1117F-1326-SM-5EGHH	Adipose - Visceral (Omentum)
GTEX-111CU-1026-SM-5EGIL	Adipose - Visceral (Omentum)
GTEX-111YS-1326-SM-5EGGK	Adipose - Visceral (Omentum)
GTEX-1122O-0926-SM-5N9C9	Adipose - Visceral (Omentum)
GTEX-1128S-0926-SM-5GZZU	Adipose - Visceral (Omentum)
GTEX-113JC-0726-SM-5GZZR	Adipose - Visceral (Omentum)
GTEX-117YW-0826-SM-5H11O	Adipose - Visceral (Omentum)
GTEX-117YX-0726-SM-5GIET	Adipose - Visceral (Omentum)
GTEX-1192X-1526-SM-5H11I	Adipose - Visceral (Omentum)
GTEX-11DXX-2026-SM-5EGJL	Adipose - Visceral (Omentum)
GTEX-11DXY-0326-SM-5H12F	Adipose - Visceral (Omentum)
GTEX-11DXZ-1426-SM-5H12A	Adipose - Visceral (Omentum)
GTEX-11DYG-2026-SM-5EGGX	Adipose - Visceral (Omentum)
GTEX-11EM3-1126-SM-5A5KM	Adipose - Visceral (Omentum)
GTEX-11EQ9-1126-SM-5987I	Adipose - Visceral (Omentum)
GTEX-11GS4-1026-SM-5N9DE	Adipose - Visceral (Omentum)
GTEX-11GSO-0226-SM-5A5LV	Adipose - Visceral (Omentum)
GTEX-11I78-0226-SM-5HL6R	Adipose - Visceral (Omentum)
GTEX-11LCK-0326-SM-5A5M7	Adipose - Visceral (Omentum)
GTEX-11NUK-2026-SM-5PNVZ	Adipose - Visceral (Omentum)
GTEX-11NV4-1426-SM-5BC4W	Adipose - Visceral (Omentum)
GTEX-11OF3-0826-SM-5BC51	Adipose - Visceral (Omentum)
GTEX-11P7K-0826-SM-5BC5F	Adipose - Visceral (Omentum)
GTEX-11P81-0726-SM-5PNYH	Adipose - Visceral (Omentum)
GTEX-11P82-0326-SM-5HL51	Adipose - Visceral (Omentum)
GTEX-11PRG-1526-SM-5HL6Z	Adipose - Visceral (Omentum)
GTEX-11VI4-1226-SM-5EQMP	Adipose - Visceral (Omentum)
GTEX-11WQK-1526-SM-5EGKN	Adipose - Visceral (Omentum)
GTEX-11XUK-1726-SM-5GU61	Adipose - Visceral (Omentum)
GTEX-11ZTS-1326-SM-5EQMA	Adipose - Visceral (Omentum)
GTEX-11ZUS-1826-SM-5FQTR	Adipose - Visceral (Omentum)
GTEX-1211K-1226-SM-5EQ4N	Adipose - Visceral (Omentum)
GTEX-1212Z-0526-SM-5FQSQ	Adipose - Visceral (Omentum)
GTEX-12584-2126-SM-5FQUM	Adipose - Visceral (Omentum)
GTEX-12696-1826-SM-5EGJS	Adipose - Visceral (Omentum)
GTEX-12BJ1-0826-SM-5EQ5P	Adipose - Visceral (Omentum)
GTEX-12C56-0826-SM-5EGJ5	Adipose - Visceral (Omentum)
GTEX-12KS4-1526-SM-5EQ6E	Adipose - Visceral (Omentum)
GTEX-12WSA-1626-SM-5EGJV	Adipose - Visceral (Omentum)
GTEX-12WSC-1726-SM-5GCN3	Adipose - Visceral (Omentum)
GTEX-12WSG-0426-SM-5FQSE	Adipose - Visceral (Omentum)
GTEX-12WSI-1526-SM-5GCNM	Adipose - Visceral (Omentum)
GTEX-12WSK-1026-SM-5CVNR	Adipose - Visceral (Omentum)
GTEX-12WSL-1126-SM-5CVNK	Adipose - Visceral (Omentum)
GTEX-12WSM-0626-SM-5GCOK	Adipose - Visceral (Omentum)
GTEX-12ZZW-2326-SM-5DUW2	Adipose - Visceral (Omentum)
GTEX-12ZZX-1726-SM-5BC63	Adipose - Visceral (Omentum)
