"1" "2"
"sscortex" 0.994071716735645 0.00592828326435467
"sscortex.1" 0.999485590431135 0.000514409568865461
"sscortex.2" 0.997748785377604 0.00225121462239602
"sscortex.3" 0.999834179621009 0.000165820378991194
"sscortex.4" 0.998477971964187 0.00152202803581251
"sscortex.5" 0.999798692805918 0.000201307194081657
"sscortex.6" 0.999143254694586 0.00085674530541396
"ca1hippocampus" 0.999799362782759 0.000200637217240724
"sscortex.7" 0.998249024669659 0.00175097533034085
"sscortex.8" 0.999163276785882 0.000836723214118249
"sscortex.9" 0.994151167306588 0.00584883269341245
"sscortex.10" 0.999516626997454 0.000483373002545946
"sscortex.11" 0.999719671321216 0.000280328678784021
"ca1hippocampus.1" 0.999887949520561 0.00011205047943872
"sscortex.12" 0.99992004695828 7.99530417196272e-05
"sscortex.13" 0.999786357241146 0.000213642758854506
"ca1hippocampus.2" 0.99978898626843 0.000211013731569904
"ca1hippocampus.3" 0.999922127243953 7.78727560473509e-05
"ca1hippocampus.4" 0.911049209824563 0.0889507901754365
"ca1hippocampus.5" 0.998620694334828 0.00137930566517217
"ca1hippocampus.6" 0.999896589576067 0.000103410423932868
"ca1hippocampus.7" 0.999126688547978 0.000873311452021487
"sscortex.14" 0.999782885477376 0.000217114522624493
"ca1hippocampus.8" 0.99979246238852 0.000207537611480503
"sscortex.15" 0.999922766670437 7.72333295626645e-05
"sscortex.16" 0.999923029635226 7.69703647738686e-05
"sscortex.17" 0.998770986034413 0.00122901396558658
"sscortex.18" 0.998261159801014 0.00173884019898578
"sscortex.19" 0.999891269830979 0.000108730169021189
"sscortex.20" 0.99992804986971 7.19501302895648e-05
"ca1hippocampus.9" 0.999824095992242 0.000175904007757794
"sscortex.21" 0.999495967876432 0.000504032123567889
"sscortex.22" 0.99946394715978 0.000536052840220277
"sscortex.23" 0.999777693585297 0.00022230641470303
"sscortex.24" 0.999902321474676 9.76785253244456e-05
"sscortex.25" 0.999853393555539 0.00014660644446122
"sscortex.26" 0.998062093511686 0.00193790648831441
"sscortex.27" 0.998830716598144 0.00116928340185545
"sscortex.28" 0.99985539112096 0.000144608879039558
"sscortex.29" 0.999877875684282 0.000122124315718253
"sscortex.30" 0.999025476554382 0.000974523445618066
"sscortex.31" 0.994141835417953 0.0058581645820469
"sscortex.32" 0.999408258625471 0.000591741374528995
"sscortex.33" 0.995524763953492 0.00447523604650807
"sscortex.34" 0.996910886855697 0.00308911314430261
"sscortex.35" 0.996741127315032 0.00325887268496757
"ca1hippocampus.10" 0.998470757609375 0.00152924239062496
"sscortex.36" 0.973384461321154 0.0266155386788463
"ca1hippocampus.11" 0.998984364888286 0.00101563511171395
"ca1hippocampus.12" 0.999493623707702 0.00050637629229822
"ca1hippocampus.13" 0.99941132970405 0.000588670295950329
"ca1hippocampus.14" 0.998306755591214 0.00169324440878625
"ca1hippocampus.15" 0.998853099249428 0.00114690075057213
"ca1hippocampus.16" 0.999858660537181 0.000141339462819231
"sscortex.37" 0.974518020035897 0.0254819799641025
"ca1hippocampus.17" 0.998128090483285 0.0018719095167147
"ca1hippocampus.18" 0.999803096837191 0.000196903162809034
"sscortex.38" 0.983225186709646 0.0167748132903544
"sscortex.39" 0.997586506708819 0.00241349329118128
"sscortex.40" 0.987068099639097 0.0129319003609027
"sscortex.41" 0.994470377446587 0.0055296225534132
"sscortex.42" 0.993643657227549 0.00635634277245143
"sscortex.43" 0.999909243511189 9.07564888106816e-05
"sscortex.44" 0.992633930799544 0.00736606920045601
"sscortex.45" 0.999184477263265 0.000815522736734571
"sscortex.46" 0.991708651598223 0.00829134840177718
"sscortex.47" 0.999651753910022 0.00034824608997825
"sscortex.48" 0.997684954990188 0.00231504500981167
"ca1hippocampus.19" 0.99867029373773 0.00132970626227024
"sscortex.49" 0.99526339981709 0.00473660018290949
"sscortex.50" 0.999401713859071 0.000598286140928697
"sscortex.51" 0.999191650165093 0.000808349834907111
